date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-beefy,forecasted_TVL_opchain-beefy
2024-10-01 00:00:00,0.3394028942992566,0.16786329240058342,0.01726387708944258,1.5724220789059308e-05,0.0,0.0,344795392.46211606,265082652.123985
2024-10-02 00:00:00,0.20694193911675557,0.1888235785859046,0.03873173994918555,2.1023311374459943e-05,0.0,0.0,314139072.261994,254162781.0504673
2024-10-03 00:00:00,0.16689653324365755,0.1440596665910366,0.04901694711942707,3.685998559244202e-05,0.0,0.0,310535737.8822137,253403326.4020461
2024-10-04 00:00:00,0.17927201215002037,0.41210131032298875,0.08228502393688024,1.543985654603631e-05,0.0,0.0,297833202.11244124,273539768.00096655
2024-10-05 00:00:00,0.17973490185180938,0.16787523054826778,0.10087687085194813,3.428593507869513e-05,0.0,0.0,320924002.807763,260468520.85343963
2024-10-06 00:00:00,0.2416910869799427,0.2372413477960437,0.08506893145886889,3.404192758087893e-05,0.0,0.0,306795383.67544085,240010726.58830664
2024-10-07 00:00:00,0.21704935087311836,0.22784615812979966,0.16787184365811159,2.2912738717490953e-05,0.0,0.0,320474277.3069657,270240213.17072856
2024-10-08 00:00:00,0.3067789454642009,0.13783295253229716,0.041584371398519594,2.344798961128121e-05,0.0,0.0,328596733.91870964,269336376.17199546
2024-10-09 00:00:00,0.1960658751329115,0.23035257119840438,0.08490565506911442,1.9493290318333777e-05,0.0,0.0,288322354.208411,257851024.31811374
2024-10-10 00:00:00,0.1277360062871003,0.2031519427976442,0.08915651387273654,3.217796443540856e-05,0.0,0.0,292349474.31902444,281099593.66195357
2024-10-11 00:00:00,0.16668111727714774,0.2754372284338978,0.03136338679823235,2.545993021356265e-05,0.0,0.0,272897169.9761869,269843570.04308814
2024-10-12 00:00:00,0.16876010349497717,0.08957178667564372,0.00019124395846591496,3.849686415954486e-05,0.0,0.0,317544359.7963458,270776749.10058737
2024-10-13 00:00:00,0.2559171932905193,0.1871450502131786,0.03351732473087353,1.661048309511488e-05,0.0,0.0,275098765.192357,274462232.4639904
2024-10-14 00:00:00,0.3889147420027081,0.2195381745409058,0.06988367080589389,3.242340623785704e-05,0.0,0.0,294314525.48806024,230967031.83089164
2024-10-15 00:00:00,0.20874972298051944,0.14398116581822892,0.030364125794571605,1.8093875073233304e-05,0.0,0.0,277781447.70957476,252241099.24480477
2024-10-16 00:00:00,0.40720741402187965,0.22491500012595006,0.1064050819407245,2.0882185257463552e-05,0.0,0.0,298674645.3345705,263620741.40905267
2024-10-17 00:00:00,0.266336351655478,0.21868282663743313,0.1128806946235947,3.204394651188236e-05,0.0,0.0,272414615.168165,241619251.8577623
2024-10-18 00:00:00,0.2274004568538814,0.25046941836070064,0.13352280546341108,3.101210611118787e-05,0.0,0.0,277064618.4041031,267003833.1843011
