transaction_date,transaction_cnt,active_users,total_transferred,gas_fee,unique_users,retained_percent,daa_to_maa_ratio,cum_transferred
2024-12-02,16691.0,8516.0,1.2323412751008832e+18,0.03221162521881934,68.0,0.8171676843588539,0.09,6.251973407630661e+20
2024-12-03,16150.0,8434.0,1.1576134465963697e+18,0.0287407934054598,40.0,0.8801280531183305,0.09,6.263549542096625e+20
2024-12-04,15641.0,8184.0,4.110165631985193e+18,0.028818698839487143,46.0,0.876099706744868,0.09,6.304651198416477e+20
2024-12-05,15541.0,8095.0,1.0053866431725723e+18,0.030289779459810352,104.0,0.8496602841260037,0.08,6.314705064848203e+20
2024-12-06,13639.0,7195.0,1.3687237704683748e+18,0.03131715508535539,108.0,0.8515635858234886,0.08,6.328392302552887e+20
2024-12-07,14599.0,8229.0,8.471877367967073e+17,0.03043925546090995,35.0,0.671284481711022,0.09,6.336864179920854e+20
2024-12-08,10079.0,5207.0,8.912160721359032e+17,0.015262544199923666,34.0,0.8263875552141349,0.05,6.345776340642213e+20
2024-12-09,13151.0,7192.0,1.1379916670309702e+18,0.03688591880035302,32.0,0.5803670745272526,0.08,6.357156257312523e+20
2024-12-10,16875.0,10300.0,1.0792823912928762e+18,0.0316524581365686,116.0,0.568252427184466,0.11,6.367949081225451e+20
2024-12-11,25556.0,18744.0,1.7089489248496863e+18,0.030669709781871345,58.0,0.4320315834400341,0.2,6.385038570473948e+20
2024-12-12,16793.0,9460.0,1.6632787553896714e+18,0.03508831673949025,349.0,0.8068710359408033,0.1,6.401671358027845e+20
2024-12-13,19476.0,11667.0,4.480701322807134e+18,0.03697820456629614,600.0,0.5521556526956373,0.12,6.446478371255916e+20
2024-12-14,16948.0,9497.0,4.709523141768706e+18,0.038928408035272095,305.0,0.705696535748131,0.1,6.493573602673602e+20
2024-12-15,66470.0,33266.0,6.16360917935845e+18,0.04589978594454054,572.0,0.24830156916972285,0.35,6.555209694467187e+20
2024-12-16,47447.0,35011.0,1.6093464666337898e+19,0.17695977098521581,2258.0,0.8911770586387135,0.37,6.716144341130565e+20
2024-12-17,78812.0,50864.0,3.9302219708701426e+19,0.23452247870262322,17756.0,0.5775204466813464,0.53,7.10916653821758e+20
2024-12-18,96472.0,56279.0,7.661333716096784e+18,0.059570232964214626,21429.0,0.5386200891984577,0.59,7.185779875378548e+20
2024-12-19,43052.0,32228.0,9.564169422631506e+18,0.07476442171411514,4338.0,0.8505026684870299,0.34,7.281421569604863e+20
2024-12-20,7621.0,3675.0,7.12433385895718e+18,0.08447194040189711,915.0,0.5044897959183674,0.04,7.352664908194434e+20
2024-12-21,12112.0,6025.0,2.109933068735854e+19,0.06887008102923763,1457.0,0.26987551867219917,0.06,7.56365821506802e+20
2024-12-22,5983.0,3243.0,1.8095420080144622e+18,0.007208255416420415,553.0,0.49707061362935556,0.03,7.581753635148165e+20
2024-12-23,5678.0,3325.0,3.066787234501178e+18,0.005945113467630067,309.0,0.6057142857142858,0.03,7.612421507493178e+20
