date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-extra_finance_leverage_farming_protocol,forecasted_TVL_opchain-extra_finance_leverage_farming_protocol
2024-10-17 00:00:00,0.18393453986358396,0.1585418908510547,0.08072498428594392,-1.2349579738837314e-05,0.0,74155560.55671124,106550294.71528307,110775805.8009134
2024-10-18 00:00:00,0.2272980868663591,0.134771377837764,0.1800628416878984,-1.1483307644093753e-05,0.0,74198517.02056505,127618137.33670285,108223554.0785779
2024-10-19 00:00:00,0.16714844215099642,0.1397535406982799,0.06423436512219101,1.018230653109421e-09,0.0,107020888.47338805,121688013.87527406,120833608.27857769
2024-10-20 00:00:00,0.37634025012032457,0.19888220375756807,0.06180408926420301,1.076104545657803e-09,0.0,52152746.09539138,125658560.04319607,113401522.63143429
2024-10-21 00:00:00,0.37896530547590324,0.14229814632356244,0.07862337748542417,1.4608179042536356e-09,0.0,73839991.9180557,120143424.01083998,113385020.36064143
2024-10-22 00:00:00,0.17285096014603954,0.1129812503566497,0.10870773396730445,-4.139900049936268e-06,0.0,59649308.17288698,123381799.25170851,107904916.97649449
2024-10-23 00:00:00,0.3113128158577672,0.21231903405875502,0.11504621350627013,-8.456008765252877e-06,0.0,61300403.05987789,119810022.8033225,114179174.42338584
2024-10-24 00:00:00,0.28649358365179345,0.10875398133666234,0.0658693865814023,-7.717064947434376e-06,0.0,66846990.79450442,123379291.4879172,95159447.24918647
2024-10-25 00:00:00,0.18866015061256167,0.22562991791326764,0.047738740435999176,-4.467808402054937e-06,0.0,46219321.22604236,117119020.70995358,100554430.7257548
2024-10-26 00:00:00,0.21384369657339158,0.26108941894468407,0.06871434731703187,-1.235625850630043e-05,0.0,49944856.68100995,125160718.74403198,106341740.44002607
2024-10-27 00:00:00,0.09413177395374146,0.16896136276834803,0.05976499345844005,-1.3488451610935556e-05,0.0,95010857.37975061,113402638.77754809,112287191.97047466
2024-10-28 00:00:00,0.3044185794547485,0.3276490928596009,0.09560984067072398,9.85552426224981e-10,0.0,54967568.26929518,110552752.12605332,104586129.10445708
2024-10-29 00:00:00,0.13827995893213343,0.2735822183274341,0.09387414933708473,1.172869196322087e-09,0.0,62107484.9859351,119449846.02774282,101967363.10464996
2024-10-30 00:00:00,0.2336958745038248,0.2804124512011691,0.08032742288646817,1.225773655125368e-09,0.0,76021213.18873963,116703824.54991949,103902882.42648545
2024-10-31 00:00:00,0.36203755140661015,0.22430944150530727,0.10015199309162305,-3.9779935567093e-06,0.0,67953698.59356824,111854722.79462248,117022186.23390384
2024-11-01 00:00:00,0.44368013278068413,0.1365770655279624,0.08124962173492387,-6.684293161402118e-06,0.0,88705665.99805318,113864321.30485877,98372385.21298902
2024-11-02 00:00:00,0.4391560820763964,0.2452413258314382,0.09737188693142296,-7.909144438540816e-06,0.0,112956172.41326389,125557259.14773595,106879942.86755763
2024-11-03 00:00:00,0.4343594729699927,0.05361482527637109,0.1980777136294662,6.571143818618898e-08,0.0,77904321.51485804,128641922.65589207,90611256.44732349
2024-11-04 00:00:00,0.4854009247371306,0.16947923368632076,0.18338369571025673,5.465139105744041e-08,0.0,36569592.289667435,117174003.24004227,98775078.09663461
2024-11-05 00:00:00,0.14879088278179423,0.07122135599540182,0.27452288327976254,7.814584115381158e-08,0.0,103243649.2302675,126132748.26849301,102590329.65623298
2024-11-06 00:00:00,0.22382527105715336,0.3763045095762149,0.12287076110976937,1.8295896702337565e-08,0.0,32280909.499061327,124651985.89393029,86211270.72403237
2024-11-07 00:00:00,0.30788944417624897,0.2277050482001498,0.20858569116884723,4.546282601694826e-08,0.0,77722563.42524998,124127415.8626352,108805801.00518857
2024-11-08 00:00:00,0.2252080626442692,0.17978347131815758,0.07712766256600735,4.141237031341922e-08,0.0,21171201.161442444,121871116.84021977,111040545.26719795
2024-11-09 00:00:00,0.35565679940142225,0.19243868125588148,0.14333907688206096,5.524343959979812e-08,0.0,37937178.35805801,123558717.35547614,106919673.93136366
2024-11-10 00:00:00,0.30633951809456,0.1680162964625723,0.24726669289582337,5.3603431110692173e-08,0.0,30613905.503065497,128368959.30667298,122769625.05442816
2024-11-11 00:00:00,0.4149521506310136,0.1393780258394127,0.26024045663356404,3.3202704400407245e-08,0.0,43518710.38875853,136259185.35718903,102194073.8059207
2024-11-12 00:00:00,0.2321883773985803,0.09854170812921056,0.1291111729458166,-1.8640466707109652e-07,0.0,39173303.95742312,144097857.19418272,111025298.5964489
2024-11-13 00:00:00,0.22840103642896678,0.1047859454028418,0.09035617557140561,-2.808783121826807e-07,0.0,33677926.22792538,134786362.07442006,126799451.96799101
2024-11-14 00:00:00,0.16968205618251475,0.14872072149065743,0.09984009347536035,-3.885116915891496e-07,0.0,47596901.71195531,132013415.3983558,118011386.5318328
2024-11-15 00:00:00,0.2579819228366316,0.13383409565457985,0.15898872135578423,-3.7983346065128417e-06,0.0,53840383.84730902,140904472.82210118,120241453.4313728
2024-11-16 00:00:00,0.5960303188756614,0.18553472407171293,0.08328828674515577,-8.298974257780403e-06,0.0,21875884.45769681,128071560.34465963,123399389.09236133
2024-11-17 00:00:00,0.31137343091565683,0.20150953290948995,0.12034143111173588,-7.575827988796123e-06,0.0,41120631.176752776,125120051.23670524,124389635.4106384
2024-11-18 00:00:00,0.3309690274441549,0.12050043087265751,0.11696213491722861,1.2260903014950698e-09,0.0,51391407.551962286,127487956.65798062,105293092.41185632
2024-11-19 00:00:00,0.2719638584800356,0.1501553772050563,0.19806170355033623,1.2277704999516725e-09,0.0,38494691.276523136,120332861.8712677,129148009.14315835
2024-11-20 00:00:00,0.3335560416237283,0.20236393597636915,0.09111594336285098,1.4200377954056595e-09,0.0,33985715.404203154,123110552.29827368,114700022.76156002
